,type,id,var_noise,initial_SNR,visu_SNR,sure_SNR,bayes_SNR,spc3_SNR,cusum_SNR,cusum2_SNR
144,AFL,8,0.01,41785454.607076906,-40.42265650443316,-35.81518967924972,-38.31618429533383,-71.85251478786903,-72.75951168346967,-49.6177082307511
145,AFL,9,0.002,723664809.1902791,-55.15583244808057,-45.23412775028547,-53.20874421635344,-84.536875998256,-84.73338778332948,-67.00561201826163
146,AFL,9,0.004,170078094.4269075,-48.86694327589573,-38.94551288714351,-46.91985247220268,-78.24799967058938,-78.44451116230731,-60.71675132149536
147,AFL,9,0.006,80117423.12629808,-45.59793510288416,-35.720147946929465,-43.65136807982172,-74.97879340602208,-75.17531386870357,-57.44762025549789
148,AFL,9,0.008,42820386.562514216,-42.93465542654655,-33.00002672973112,-40.92993170874833,-72.2579952260618,-72.45450847252708,-54.72675270496416
149,AFL,9,0.01,26407573.862927075,-40.86403058521231,-30.815721116255066,-38.83166841105976,-70.15877975535747,-70.35529831066734,-52.62746267868987
150,AFIB,0,0.002,2217262862.4568315,-57.62899536148459,-34.76200204843075,-54.13722362956507,-92.96701106886884,-92.9695528418266,-71.2176033195098
151,AFIB,0,0.004,605143909.3915439,-51.98947005994323,-29.05112375551544,-48.49768186883006,-87.32742535123846,-87.3299671244652,-65.57803212317512
152,AFIB,0,0.006,257260890.68678963,-48.27459594754424,-24.248614424385803,-44.48783498916387,-83.61257674824812,-83.6151185209678,-61.86317024882939
153,AFIB,0,0.008,137293919.34875622,-45.54742999249491,-22.59669259225103,-42.0553446381835,-80.88534617252921,-80.88788794860989,-59.13598332913398
154,AFIB,0,0.01,95876187.44332726,-43.98795454466648,-20.862626392918383,-40.496401307746304,-79.32594997803591,-79.32849174840591,-57.57651313229415
155,AFIB,1,0.002,1144249056.2915144,-56.07262230273505,-41.718630833510474,-53.591910466869656,-89.7330206724434,-89.74940266105477,-70.99487290285757
156,AFIB,1,0.004,289725023.2792722,-50.10731050717134,-35.75394918369814,-47.67716387260727,-83.76767096041178,-83.78405296462354,-65.0295223052524
157,AFIB,1,0.006,122495730.70573647,-46.368562548666674,-32.07009047631159,-43.939131479537714,-80.02902871219217,-80.04541068507741,-61.290887856449245
158,AFIB,1,0.008,71070008.8842588,-43.933734583983835,-29.867549399232843,-41.17797394297242,-77.66467776849956,-77.68105976058695,-58.92655039866338
159,AFIB,1,0.01,46573977.966296226,-42.16915752438233,-28.509856616095036,-39.89510739437658,-75.82925324167508,-75.84563521165262,-57.09111348375875
160,AFIB,2,0.002,1174058801.1547523,-56.3068752172732,-36.57351765415576,-51.87856523838418,-89.26016837466379,-89.26505453429502,-70.7927092548352
161,AFIB,2,0.004,295164629.5792062,-50.31066018825904,-30.66688661359634,-45.75547569017385,-83.26392980515783,-83.26881584829975,-64.7964639415065
162,AFIB,2,0.006,129862090.85056466,-46.78245562455476,-25.902551896647452,-42.74177982200369,-79.69810049993052,-79.70298646603938,-61.23063143596808
